id,lead_key,phone,business_name,state,suburb,address,sector_level_1,sector_level_2,sector_level_3,phone_masked,phone_from_leadkey,phone_type,phone_match_score,phone_frequency,phone_quality,reachability_score,kpay_relevant,has_address,has_sector,name_suburb_dup,state_clean
1163170,L_61469821593,0469 821 593,Dreams Hair And Beauty Care,,,,Beauty & Wellness,Beauty Salon / Barber,Beauty salon,False,61469821593,mobile,0.2,1,Level 2,3,True,False,True,False,
1130002,L_61419683513,0419 683 513,We R Aus,,,,,,Australian goods store,False,61419683513,mobile,0.2,1,Level 2,3,True,False,False,False,
1710781,L_61294184431,+61 2 9418 4431,La Riviera Dining,,,,F&B,Dine-in Restaurant,"Italian, French • $$ - $$$",False,61294184431,landline,1.0,1,Level 3,25,True,False,True,False,
1132487,L_61427820744,0427 820 744,Cutiepye Christening Wear,,,,,,Baby clothing store,False,61427820744,mobile,0.2,1,Level 2,3,True,False,False,False,
1689372,L_61447862007,0447 862 007,Foam Car Washing,,,,Others,Others,"C,a,r, ,W,a,s,h",False,61447862007,mobile,0.2,1,Level 2,3,True,False,True,False,
1662107,L_61450414171,0450 414 171,Detail Dynasty Sydney,,,,Others,Others,Auto Related Services,False,61450414171,mobile,0.2,1,Level 2,3,True,False,True,False,
1692063,L_61404859222,0404 859 222,Electrix All Blew,,,,Others,Others,"E,l,e,c,t,r,i,c,i,a,n,s,,, ,L,i,g,h,t,i,n,g, ,F,i,x,t,u,r,e,s, ,&, ,E,q,u,i,p,m,e,n,t,,, ,H,o,m,e, ,A,u,t,o,m,a,t,i,o,n",False,61404859222,mobile,0.2,1,Level 2,3,True,False,True,False,
1173574,L_61405970415,0405 970 415,Santos So Clean,,,,Professional Services,Others,Window cleaning service,False,61405970415,mobile,0.2,1,Level 2,3,True,False,True,False,
1671024,L_61294863061,+61 2 9486 3061,Cozy Cups,,,,Others,Others,,False,61294863061,landline,1.0,1,Level 3,25,True,False,True,False,
1146210,L_61401824849,0401 824 849,Daniel Mccoy Electrical,,,,Others,Others,Electrical engineer,False,61401824849,mobile,0.2,1,Level 2,3,True,False,True,False,
1134698,L_61419205607,0419 205 607,Active Refrigeration & Air Conditioning,,,,Others,Others,Air conditioning contractor,False,61419205607,mobile,0.2,1,Level 2,3,True,False,True,False,
1654957,L_61299383331,+61 2 9938 3331,Pilu Baretto,,,,Others,Others,,False,61299383331,landline,1.0,1,Level 3,25,True,False,True,False,
1694640,L_61414608206,0414 608 206,Pet Mobile,,,,Others,Others,"P,e,t, ,G,r,o,o,m,e,r,s",False,61414608206,mobile,0.2,1,Level 2,3,True,False,True,False,
1666625,L_61401878675,0401 878 675,Bella Brow And Glow,,,"11-17 Newcastle St, Rose Bay, 2029",Others,Others,Skin & Scalp Services & Products,False,61401878675,mobile,0.2,1,Level 2,3,True,True,True,False,
1152062,L_61400783783,0400 783 783,Gap Lighting Designs,,,,Others,Others,Lighting manufacturer,False,61400783783,mobile,0.2,1,Level 2,3,True,False,True,False,
2246065,L_6116472542268,+1 647-254-2268,Sephora,,,"900 Dufferin St #210.0, Toronto, ON M6H 4A9, Canada",Retail,Health & Beauty Retail,Cosmetics store,False,6116472542268,landline,0.2,1,Level 2,3,True,True,True,False,
2246066,L_6114165131100,+1 416-513-1100,Sephora,,,"77 Bloor St W Unit #1, Toronto, ON M5S 1M2, Canada",Retail,Health & Beauty Retail,Cosmetics store,False,6114165131100,landline,0.2,1,Level 2,3,True,True,True,True,
2246073,L_6117183218811,+1 718-321-8811,Noblesse Karaoke,NY,,"149-38 41st Ave, Flushing, NY 11355, United States",Others,Entertainment / Recreation,Karaoke,False,6117183218811,landline,0.2,1,Level 2,3,True,True,True,False,
2246094,L_6114504382553,+1 450-438-2553,Clinique Capillaire St Jérôme,,,"40 Rue de la Gare, Saint-Jérôme, QC J7Z 2B8, Canada",Retail,Health & Beauty Retail,Beauty supply store,False,6114504382553,landline,0.2,1,Level 2,3,True,True,True,False,
2246179,L_6117787273950,+1 778-727-3950,Namsan Korean Cuisine,,,"8580 Alexandra Rd Unit 1085, Richmond, BC V6X 1C3, Canada",F&B,Dine-in Restaurant,Korean restaurant,False,6117787273950,landline,0.2,1,Level 2,3,True,True,True,False,
2246191,L_6127217900001,+27 21 790 0001,Fish On The Rocks,,,"1 Harbour Rd, Hout Bay, Cape Town, 7806, South Africa",F&B,Dine-in Restaurant,Fish and seafood restaurant,False,6127217900001,landline,0.2,1,Level 2,3,True,True,True,False,
2246224,L_6186086755,8608 6755,Sing My Song Family Karaoke,,,"962 Jurong West Street 91, #03-300, Singapore 640962",F&B,Bar / Pub / Nightlife,Karaoke bar,False,6186086755,unknown,0.2,1,Level 2,3,True,True,True,False,
2246242,L_6187826945,8782 6945,Delulu Karaoke Bar @ Cuppage Plaza,,,"5 Koek Rd, #04-29 Cuppage Plaza, Singapore 228796",F&B,Bar / Pub / Nightlife,Karaoke bar,False,6187826945,unknown,0.2,1,Level 2,3,True,True,True,False,
2246243,L_616072222888,+60 7-222 2888,Karaoke Lounge,,,"16H, Bangunan Tan Chan Cheng, Jalan Station, 80000 Johor Bahru, Johor, 80000, Malaysia",F&B,Bar / Pub / Nightlife,Karaoke bar,False,616072222888,landline,0.2,1,Level 2,3,True,True,True,False,
2246378,L_6116782485181,+1 678-248-5181,Cru Food & Wine Bar,GA,,"300 Avalon Blvd, Alpharetta, GA 30009, United States",F&B,Bar / Pub / Nightlife,Wine bar,False,6116782485181,landline,0.2,1,Level 2,3,True,True,True,False,
2246446,L_61442030113287,+44 20 3011 3287,Raffles Chelsea,,,"287 King's Rd, London SW3 5EW, United Kingdom",Others,Others,Night club,False,61442030113287,landline,0.2,1,Level 2,3,True,True,True,False,
2246447,L_6187258985,8725 8985,La Maison Du Whisky,,,"80 Mohamed Sultan Rd, #01-10, Singapore 239013",F&B,Bar / Pub / Nightlife,Bar,False,6187258985,unknown,0.2,1,Level 2,3,True,True,True,False,
2246477,L_616622660123,+66 2 266 0123,Thara Thong,,,"2 ถ. เจริญกรุง Siphya, Bangrak, Bangkok 10500, Thailand",F&B,Dine-in Restaurant,Thai restaurant,False,616622660123,landline,0.2,1,Level 2,3,True,True,True,False,
2246746,L_6162685163,6268 5163,Phoenix Karaoke Lounge,,,"1 Yuan Ching Rd, #01-07, Singapore 618640",F&B,Bar / Pub / Nightlife,Karaoke bar,False,6162685163,unknown,0.2,1,Level 2,3,True,True,True,False,
2246865,L_6181334620241,+81 3-3462-0241,Uobei Shibuya Dogenzaka Store,,,"Japan, 〒150-0043 Tokyo, Shibuya, Dogenzaka, 2 Chome−29−11 Central Bldg. 6, １階",F&B,Dine-in Restaurant,Conveyor belt sushi restaurant,False,6181334620241,landline,0.2,1,Level 2,3,True,True,True,False,
2246869,L_6112568804888,+1 256-880-4888,Viet House Restaurant,AL,,"975 Airport Rd SW Suite B2, Huntsville, AL 35802, United States",F&B,Dine-in Restaurant,Vietnamese restaurant,False,6112568804888,landline,0.2,1,Level 2,3,True,True,True,False,
2246914,L_6115145685858,+1 514-568-5858,La Muse,,,"1608 Av. Lincoln, Montréal, QC H3H 2N4, Canada",F&B,Bar / Pub / Nightlife,Karaoke bar,False,6115145685858,landline,0.2,1,Level 2,3,True,True,True,False,
2246915,L_6115149388886,+1 514-938-8886,Pang Pang Karaoke,,,"1226 Mackay St, Montreal, Quebec H3G 2H4, Canada",F&B,Bar / Pub / Nightlife,Karaoke bar,False,6115149388886,landline,0.2,1,Level 2,3,True,True,True,False,
2246946,L_6116473306848,+1 647-330-6848,Spicy Palace Karaoke Bar 马路边边Ktv,,,"212 King St E, Hamilton, ON L8N 1B5, Canada",F&B,Bar / Pub / Nightlife,Karaoke bar,False,6116473306848,landline,0.2,1,Level 2,3,True,True,True,False,
2246947,L_6118022236820,+1 802-223-6820,Charlie O'S,VT,,"70 Main St, Montpelier, VT 05602, United States",F&B,Bar / Pub / Nightlife,Live music bar,False,6118022236820,landline,0.2,1,Level 2,3,True,True,True,False,
2246948,L_6114162223753,+1 416-222-3753,Neway Ktv,,,"4901A Yonge St, North York, ON M2N 5N4, Canada",F&B,Bar / Pub / Nightlife,Karaoke bar,False,6114162223753,landline,0.2,1,Level 2,3,True,True,True,False,
2246949,L_6114162606888,+1 416-260-6888,K-One Ktv,,,"526 Dundas St W, Toronto, ON M5T 1H3, Canada",F&B,Bar / Pub / Nightlife,Karaoke bar,False,6114162606888,landline,0.2,1,Level 2,3,True,True,True,False,
2246950,L_6117187990909,+1 718-799-0909,Singing Karaoke Club,NY,,"156-16B Northern Blvd, Flushing, NY 11354, United States",F&B,Bar / Pub / Nightlife,Karaoke bar,False,6117187990909,landline,0.2,1,Level 2,3,True,True,True,False,
2246951,L_6117185396666,+1 718-539-6666,Wave Ktv,NY,,"133-35 Roosevelt Ave, Flushing, NY 11354, United States",F&B,Bar / Pub / Nightlife,Karaoke bar,False,6117185396666,landline,0.2,1,Level 2,3,True,True,True,False,
2246952,L_6116173198228,+1 617-319-8228,Station Bistro & Ktv,MA,,"76 Exchange St, Malden, MA 02148, United States",Others,Entertainment / Recreation,Karaoke,False,6116173198228,landline,0.2,1,Level 2,3,True,True,True,False,
2246985,L_6114376605555,+1 437-660-5555,Vocal Ktv,,,"7181 Yonge St #35, Thornhill, ON L3T 0C7, Canada",F&B,Bar / Pub / Nightlife,Karaoke bar,False,6114376605555,landline,0.2,1,Level 2,3,True,True,True,False,
2246986,L_6116479738090,+1 647-973-8090,8090Karaoke,,,"530 Dundas St W, Toronto, ON M5T 1H3, Canada",F&B,Bar / Pub / Nightlife,Karaoke bar,False,6116479738090,landline,0.2,1,Level 2,3,True,True,True,False,
2246987,L_6112159234999,+1 215-923-4999,Space Ktv Bar Lounge,PA,,"1025 Arch Street, Lower Level & 2nd Fl, Philadelphia, PA 19107, United States",F&B,Bar / Pub / Nightlife,Karaoke bar,False,6112159234999,landline,0.2,1,Level 2,3,True,True,True,False,
2246988,L_6116172088302,+1 617-208-8302,Stage Karaoke X Studios,MA,,"138 Brighton Ave, Allston, MA 02134, United States",F&B,Bar / Pub / Nightlife,Karaoke bar,False,6116172088302,landline,0.2,1,Level 2,3,True,True,True,False,
2246989,L_6114165126092,+1 416-512-6092,Dolphin Karaoke,,,"5523 Yonge St, North York, ON M2N 5S3, Canada",F&B,Bar / Pub / Nightlife,Karaoke bar,False,6114165126092,landline,0.2,1,Level 2,3,True,True,True,False,
2247021,L_61447577452059,+44 7577 452059,Twisted Teapot Tea Room,,,"243 Park Rd, Barnsley S70 1QW, United Kingdom",F&B,Cafe & Dessert,Tea house,False,61447577452059,mobile,0.2,1,Level 2,3,True,True,True,False,
2247048,L_61441446721019,+44 1446 721019,Coastal Coffee,,,"2 Paget Rd, Barry CF62 5TQ, United Kingdom",F&B,Dine-in Restaurant,Cafe,False,61441446721019,landline,0.2,1,Level 2,3,True,True,True,False,
2247049,L_61441446678611,+44 1446 678611,Romilly'S Coffee Shop,,,"1-2 Bron-Y-Mor, Barry CF62 6SW, United Kingdom",F&B,Cafe & Dessert,Coffee shop,False,61441446678611,landline,0.2,1,Level 2,3,True,True,True,False,
2247050,L_61441446722191,+44 1446 722191,Whitmore+Jackson,,,"10-11 Friars Rd, Barry CF62 5TJ, United Kingdom",F&B,Dine-in Restaurant,Cafe,False,61441446722191,landline,0.2,1,Level 2,3,True,True,True,False,
2247051,L_61441446737290,+44 1446 737290,John'S Cafe,,,"Recess Pavilion Arcades, 12/Esplanade Buildings, Friars Rd, A4055, Barry CF62 5TJ, United Kingdom",F&B,Dine-in Restaurant,Cafe,False,61441446737290,landline,0.2,1,Level 2,3,True,True,True,False,
2247052,L_61441446741555,+44 1446 741555,Zio'S Gelateria,,,"western shelter, Paget Rd, Barry CF62 5TQ, United Kingdom",F&B,Cafe & Dessert,Ice cream shop,False,61441446741555,landline,0.2,1,Level 2,3,True,True,True,False,
2247053,L_61447861144111,+44 7861 144111,The Fountains Tea Room,,,"132 Holton Rd, Barry CF63 4HH, United Kingdom",F&B,Dine-in Restaurant,Cafe,False,61447861144111,mobile,0.2,1,Level 2,3,True,True,True,False,
2247084,L_6117184368883,+1 718-436-8883,100 Fun,NY,,"932 60th St, Brooklyn, NY 11219, United States",F&B,Bar / Pub / Nightlife,Karaoke bar,False,6117184368883,landline,0.2,1,Level 2,3,True,True,True,False,
2247085,L_614917672181842,+49 176 72181842,Ktv Karaoke Bar,,,"Kantstraße 120, 10625 Berlin, Germany",F&B,Dine-in Restaurant,Chinese restaurant,False,614917672181842,mobile,0.2,1,Level 2,3,True,True,True,False,
2247086,L_6117713338027,+1 771-333-8027,Live-K Karaoke Bar | The Wharf,DC,,"730 Maine Ave SW, Washington, DC 20024, United States",F&B,Bar / Pub / Nightlife,Karaoke bar,False,6117713338027,landline,0.2,1,Level 2,3,True,True,True,False,
2247087,L_6117183023030,+1 718-302-3030,Beats Karaoke Cafe,NY,,"219 Grand St, Brooklyn, NY 11211, United States",F&B,Bar / Pub / Nightlife,Karaoke bar,False,6117183023030,landline,0.2,1,Level 2,3,True,True,True,False,
2247088,L_6114169162720,+1 416-916-2720,Gorhe Gorhe Karaoke,,,"708 Bloor St W, Toronto, ON M6G 1L4, Canada",Others,Entertainment / Recreation,Video karaoke,False,6114169162720,landline,0.2,1,Level 2,3,True,True,True,False,
2247089,L_6116473916233,+1 647-391-6233,Take One Studios Karaoke,,,"7850 Woodbine Ave 3rd floor, Markham, ON L3R 0B9, Canada",F&B,Bar / Pub / Nightlife,Karaoke bar,False,6116473916233,landline,0.2,1,Level 2,3,True,True,True,False,
2247090,L_6112123877800,+1 212-387-7800,Sing Sing St.Marks Karaoke,NY,,"9 St Marks Pl, New York, NY 10003, United States",Others,Entertainment / Recreation,Karaoke,False,6112123877800,landline,0.2,1,Level 2,3,True,True,True,False,
2247118,L_61971569723164,+971 56 972 3164,The Taste Of Korea Jingogae,,,Cristal Hote - Zayed The First St - Al Danah - Zone 1 - Abu Dhabi - United Arab Emirates,F&B,Dine-in Restaurant,Korean restaurant,False,61971569723164,mobile,0.2,1,Level 2,3,True,True,True,False,
2247131,L_6114162220330,+1 416-222-0330,Echo Coin Karaoke,,,"5592 Yonge St, North York, ON M2N 5S2, Canada",Others,Entertainment / Recreation,Video karaoke,False,6114162220330,landline,0.2,1,Level 2,3,True,True,True,False,
2247132,L_6119059759740,+1 905-975-9740,Déjà Vu Bar And Karaoke,,,"445 Concession St, Hamilton, ON L9A 1C1, Canada",F&B,Bar / Pub / Nightlife,Karaoke bar,False,6119059759740,landline,0.2,1,Level 2,3,True,True,True,False,
2247133,L_6115878804489,+1 587-880-4489,Kiwa Korean Restaurant,,,"6626 4 St NE, Calgary, AB T2K 6H2, Canada",F&B,Dine-in Restaurant,Restaurant,False,6115878804489,landline,0.2,1,Level 2,3,True,True,True,False,
2247134,L_6114032826551,+1 403-282-6551,Bori Korean Restaurant,,,"3616 52 Ave NW, Calgary, AB T2L 1V9, Canada",F&B,Dine-in Restaurant,Korean restaurant,False,6114032826551,landline,0.2,1,Level 2,3,True,True,True,False,
2247185,L_6119726455435,+1 972-645-5435,Nothin' But Pho Togo,TX,,"4321 Live Oak St, Dallas, TX 75204, United States",Others,Others,Takeaways,False,6119726455435,landline,0.2,1,Level 2,3,True,True,True,False,
2247198,L_61971502629817,+971 50 262 9817,Tea Gallery,,,8F32+3G8 - Muwaileh Commercial - Industrial Area - Sharjah - United Arab Emirates,F&B,Dine-in Restaurant,Indian restaurant,False,61971502629817,mobile,0.2,1,Level 2,3,True,True,True,False,
2247216,L_6114509682610,+1 450-968-2610,Resto-Bar L'Express,,,"3202 Ch. Gascon, Terrebonne, QC J6X 3Z3, Canada",F&B,Bar / Pub / Nightlife,Bar,False,6114509682610,landline,0.2,1,Level 2,3,True,True,True,False,
2247217,L_6114505815651,+1 450-581-5651,Pub St Laurent (Bar À Jeux Avec Soirée Karaoke),,,"283 Rue Notre-Dame, Repentigny, Quebec J6A 2R8, Canada",F&B,Bar / Pub / Nightlife,Pub,False,6114505815651,landline,0.2,1,Level 2,3,True,True,True,False,
2247218,L_6114504329118,+1 450-432-9118,Bar Elle Et Lui,,,"172 Rue de Martigny W, Saint-Jérôme, Quebec J7Y 2G1, Canada",F&B,Bar / Pub / Nightlife,Bar,False,6114504329118,landline,0.2,1,Level 2,3,True,True,True,False,
2247225,L_6115146955000,+1 514-695-5000,Seau De Crabe Restaurant,,,"1866 Sources Blvd, Pointe-Claire, Quebec H9P 1K1, Canada",F&B,Dine-in Restaurant,Cajun restaurant,False,6115146955000,landline,0.2,1,Level 2,3,True,True,True,False,
2247226,L_6119023046586,+1 902-304-6586,Lord Fin & Feather,,,"Sydney Waterfront Boardwalk, Cape Breton Regional Municipality, NS B1P 1A7, Canada",F&B,Quick-Service / Takeaway,Fish and chips takeaway,False,6119023046586,landline,0.2,1,Level 2,3,True,True,True,False,
2247227,L_6119027942992,+1 902-794-2992,The Lobster Pound And Moore,,,"293 Commercial St, North Sydney, NS B2A 1B9, Canada",F&B,Dine-in Restaurant,Restaurant,False,6119027942992,landline,0.2,1,Level 2,3,True,True,True,False,
2247228,L_6119022752246,+1 902-275-2246,Seaside Shanty Restaurant,,,"5315 Nova Scotia Trunk 3, Chester Basin, NS B0J 1K0, Canada",F&B,Dine-in Restaurant,Seafood restaurant,False,6119022752246,landline,0.2,1,Level 2,3,True,True,True,False,
2247277,L_6115144194664,+1 514-419-4664,Nhasang,,,"1717 Rue Poirier, Saint-Laurent, QC H4L 1J4, Canada",F&B,Dine-in Restaurant,Vietnamese restaurant,False,6115144194664,landline,0.2,1,Level 2,3,True,True,True,False,
2247278,L_6114752413159,+1 475-241-3159,Pho Delicious,CT,,"200 Captain Thomas Blvd, West Haven, CT 06516, United States",F&B,Dine-in Restaurant,Restaurant,False,6114752413159,landline,0.2,1,Level 2,3,True,True,True,False,
2247280,L_6115147398214,+1 514-739-8214,Restaurant Phnom Penh,,,"7153 Chem. de la Côte-des-Neiges, Montréal, QC H3R 2M2, Canada",F&B,Dine-in Restaurant,Cambodian restaurant,False,6115147398214,landline,0.2,1,Level 2,3,True,True,True,False,
2247281,L_6114165365966,+1 416-536-5966,Nang Saigon,,,"450 Bloor St W, Toronto, ON M5S 1X8, Canada",F&B,Dine-in Restaurant,Vietnamese restaurant,False,6114165365966,landline,0.2,1,Level 2,3,True,True,True,False,
2247343,L_6182995409,8299 5409,So High,,,"28 Cavenagh Rd, #01-01/#01-02 HOTEL CHANCELLOR @ ORCHARD, Singapore 229635",F&B,Bar / Pub / Nightlife,Bar,False,6182995409,unknown,0.2,1,Level 2,3,True,True,True,False,
2247344,L_6119022406669,+1 902-240-6669,Bentley'S Burgers And Fries,,,"7689 NS-207, West Chezzetcook, NS B0J 2L0, Canada",F&B,Dine-in Restaurant,Hamburger restaurant,False,6119022406669,landline,0.2,1,Level 2,3,True,True,True,False,
2247392,L_6184922422,8492 2422,Barback Hub,,,"51 Neil Rd, Singapore 088829",F&B,Bar / Pub / Nightlife,Pub,False,6184922422,unknown,0.2,1,Level 2,3,True,True,True,False,
2247393,L_6115065483019,+1 506-548-3019,House Of Lee,,,"315 Main St, Bathurst, NB E2A 1B1, Canada",F&B,Dine-in Restaurant,Restaurant,False,6115065483019,landline,0.2,1,Level 2,3,True,True,True,False,
2247396,L_6118082001114,+1 808-200-1114,Hangang Korean Grill House,HI,,"1236 Waimanu St #1F, Honolulu, HI 96814, United States",F&B,Dine-in Restaurant,Korean barbecue restaurant,False,6118082001114,landline,0.2,1,Level 2,3,True,True,True,False,
2247400,L_6113236558300,+1 323-655-8300,Beverly Hills Juice,CA,,"8382 Beverly Blvd, Los Angeles, CA 90048, United States",Retail,Others,Juice shop,False,6113236558300,landline,0.2,1,Level 2,3,True,True,True,False,
2247414,L_61441322838315,+44 1322 838315,Kebab Bexley,,,"9B Dartford Rd, Bexley DA5 2BH, United Kingdom",Retail,Others,Kebab Shop,False,61441322838315,landline,0.2,1,Level 2,3,True,True,True,False,
2247419,L_61442077340565,+44 20 7734 0565,Tramp,,,"40 Jermyn St, London SW1Y 6DN, United Kingdom",Others,Others,Social club,False,61442077340565,landline,0.2,1,Level 2,3,True,True,True,False,
2247420,L_6115145228833,+1 514-522-8833,Boonlaï,,,"4101 St Catherine St E, Montreal, Quebec H1V 1X1, Canada",F&B,Dine-in Restaurant,Restaurant,False,6115145228833,landline,0.2,1,Level 2,3,True,True,True,False,
2247421,L_6114387255512,+1 438-725-5512,Tissy'S Bistro - Authentic Thai Food,,,"452 Beaconsfield Blvd, Beaconsfield, Quebec H9W 4B9, Canada",F&B,Dine-in Restaurant,Restaurant,False,6114387255512,landline,0.2,1,Level 2,3,True,True,True,False,
2247503,L_6168229899,+682 29 899,Pizzeria Italiana,,,"Te Ava Tapu, Avarua, Rarotonga, Cook Islands",F&B,Dine-in Restaurant,Restaurant,False,6168229899,landline,0.2,1,Level 2,3,True,True,True,True,
2247566,L_616435779928,+64 3 577 9928,Akbaba'S Turkish Cuisine,,,"2 Maxwell Road, Blenheim Central, Blenheim 7201, New Zealand",F&B,Dine-in Restaurant,Turkish restaurant,False,616435779928,landline,0.2,1,Level 2,3,True,True,True,False,
2247573,L_6119057633888,+1 905-763-3888,Nam Richmondhill,,,"9206 Leslie St, Richmond Hill, ON L4B 2N8, Canada",F&B,Dine-in Restaurant,Vietnamese restaurant,False,6119057633888,landline,0.2,1,Level 2,3,True,True,True,False,
2247574,L_6116473525886,+1 647-352-5886,Vietnoms Go,,,"243 Sheppard Ave E, North York, ON M2N 5Z1, Canada",F&B,Dine-in Restaurant,Vietnamese restaurant,False,6116473525886,landline,0.2,1,Level 2,3,True,True,True,False,
2247606,L_6115065465150,+1 506-546-5150,Pabineau Seafood Restaurant,,,"1295 Pabineau Falls Rd, Bathurst, NB E2A 7N3, Canada",F&B,Dine-in Restaurant,Seafood restaurant,False,6115065465150,landline,0.2,1,Level 2,3,True,True,True,False,
2247649,L_6119022953100,+1 902-295-3100,Lobster Galley,,,"51943 Cabot Trail, Baddeck, NS B0E 1B0, Canada",F&B,Dine-in Restaurant,Restaurant,False,6119022953100,landline,0.2,1,Level 2,3,True,True,True,False,
2247700,L_6189044022,8904 4022,Seafood By The River 滨海湾渔村,,,"45 Boat Quay, Singapore 049834",F&B,Dine-in Restaurant,Seafood restaurant,False,6189044022,unknown,0.2,1,Level 2,3,True,True,True,False,
2247730,L_6114387739413,+1 438-773-9413,Fondue Haidilao,,,"1194 Saint-Catherine St W, Montreal, Quebec H3B 1K1, Canada",F&B,Dine-in Restaurant,Hot pot restaurant,False,6114387739413,landline,0.2,1,Level 2,3,True,True,True,False,
2247731,L_6115143930888,+1 514-393-0888,"Happy Lamb Hot Pot, Montreal",,,"50 Rue De la Gauchetière O, Montréal, QC H2Z 1C1, Canada",F&B,Dine-in Restaurant,Hot pot restaurant,False,6115143930888,landline,0.2,1,Level 2,3,True,True,True,False,
2247791,L_6116132306815,+1 613-230-6815,Wei’S Noodle House,,,"706 Somerset St W, Ottawa, ON K1R 6P6, Canada",F&B,Dine-in Restaurant,Asian fusion restaurant,False,6116132306815,landline,0.2,1,Level 2,3,True,True,True,False,
2247823,L_6115148221100,+1 514-822-1100,Maison O Thé,,,"17 Rue Sunnydale, Dollard-des-Ormeaux, QC H9B 1E1, Canada",F&B,Cafe & Dessert,Bubble tea store,False,6115148221100,landline,0.2,1,Level 2,3,True,True,True,False,
2247854,L_6115146913758,+1 514-691-3758,Coucou Bobarista Pierrefonds,,,"11809 Pierrefonds Blvd., Pierrefonds, Quebec H9A 1A1, Canada",F&B,Cafe & Dessert,Coffee store,False,6115146913758,landline,0.2,1,Level 2,3,True,True,True,False,
2247855,L_6115145759926,+1 514-575-9926,Thé De Roche- Artisan Tea And Gift,,,"1623 R. Atateken, Montréal, QC H2L 3L4, Canada",F&B,Cafe & Dessert,Tea store,False,6115145759926,landline,0.2,1,Level 2,3,True,True,True,False,
2247856,L_6114383849897,+1 438-384-9897,Kung Fu Tea,,,"218 St Catherine St E, Montreal, Quebec H2X 1L1, Canada",F&B,Cafe & Dessert,Bubble tea store,False,6114383849897,landline,0.2,1,Level 2,3,True,True,True,False,
2247857,L_6115149371410,+1 514-937-1410,Yifang Taiwan Fruit Tea,,,"1490 Blvd. De Maisonneuve Ouest, Montreal, Quebec H3G 2J1, Canada",F&B,Cafe & Dessert,Bubble tea store,False,6115149371410,landline,0.2,1,Level 2,3,True,True,True,False,
2247858,L_6114503300120,+1 450-330-0120,Cinq Cinq,,,"4082 R. Saint-Denis, Montréal, QC H2W 2M5, Canada",F&B,Cafe & Dessert,Bubble tea store,False,6114503300120,landline,0.2,1,Level 2,3,True,True,True,False,
2247859,L_6115146379927,+1 514-637-9927,Suga Boo - Bubble Teas & Snacks,,,"1445 Rue Notre Dame, Lachine, QC H8S 2E2, Canada",F&B,Cafe & Dessert,Bubble tea store,False,6115146379927,landline,0.2,1,Level 2,3,True,True,True,False,
2247860,L_6115149040246,+1 514-904-0246,Nos Thés,,,"1609 Saint-Catherine St W, Montreal, Quebec H3H 1L8, Canada",F&B,Dine-in Restaurant,Taiwanese restaurant,False,6115149040246,landline,0.2,1,Level 2,3,True,True,True,False,
2247861,L_6114506696000,+1 450-669-6000,Presotea,,,"9 Bd St Elzéar E, Laval, QC H7M 1B9, Canada",F&B,Cafe & Dessert,Bubble tea store,False,6114506696000,landline,0.2,1,Level 2,3,True,True,True,False,
2247862,L_6115147591099,+1 514-759-1099,Iboba Thé,,,"1009 Rue Fleury E, Montreal, Quebec H2C 1P8, Canada",F&B,Cafe & Dessert,Bubble tea store,False,6115147591099,landline,0.2,1,Level 2,3,True,True,True,False,
