id,lead_key,phone,business_name,state,suburb,address,sector_level_1,sector_level_2,sector_level_3,phone_masked,phone_from_leadkey,phone_type,phone_match_score,phone_frequency,phone_quality,reachability_score,kpay_relevant,has_address,has_sector,name_suburb_dup,state_clean,reach_address,reachability,sector_score,geo_score,data_completeness,kmf_score,tier,sector_level_1_clean
2312686,L_611300548276,611301000000,El Guapo Cantina Neutral Bay,NSW,neutral bay,"Shop 2/24 Young St, Neutral Bay, New South Wales, 2089, Australia",F&B,Others,Food & drink,False,611300548276,shared_cost,0.2,157,Level 1,0,True,True,True,False,NSW,10,10,35.0,1,7,53.0,Tier 2,F&B
2273268,L_61263522805,+61 2 6352 2805,Linden Tree Manor,NSW,lithgow,"1 Brewery Ln, Lithgow NSW 2790, Australia",Retail,Home & Furniture,Bed & breakfast,False,61263522805,landline,1.0,1,Level 3,25,True,True,True,False,NSW,10,35,26.0,1,10,72.0,Tier 2,Retail
2273271,L_61418475685,+61 418 475 685,Myrtle Creek Park,NSW,jilliby,"50 Beaven Ln, Jilliby NSW 2259, Australia",Others,Others,Park,False,61418475685,mobile,1.0,1,Level 3,30,True,True,True,False,NSW,10,40,9.0,1,10,60.0,Tier 2,Others
2273275,L_611300383587,+61 1300 383 587,Astron Bathurst (Unmanned After Hours),NSW,bathurst,"35 William St, Bathurst NSW 2795, Australia",Others,Transport / Taxi / Fuel Station,Petrol Station,False,611300383587,shared_cost,1.0,1,Level 3,20,True,True,True,False,NSW,10,30,26.0,1,10,67.0,Tier 2,Retail
2273280,L_61400590965,+61 400 590 965,Royal Events Hunter Valley,NSW,maitland,"Maitland NSW 2320, Australia",Others,Government / Utility Services,Wedding service,False,61400590965,mobile,1.0,1,Level 3,30,True,True,True,False,NSW,10,40,9.0,1,10,60.0,Tier 2,Others
2312697,L_611300581229,611301000000,Wolli Creek,NSW,wolli creek,"Bayside Council NSW, PO Box 21, Wolli Creek, New South Wales, 2205, Australia",F&B,Others,Food & drink,False,611300581229,shared_cost,0.2,157,Level 1,0,True,True,True,False,NSW,10,10,35.0,1,7,53.0,Tier 2,F&B
2312700,L_611300637301,611301000000,Sutherland Food Services,NSW,caringbah,430 Kingsway Caringbah  NSW  2229,F&B,Others,Food,False,611300637301,shared_cost,0.2,157,Level 1,0,True,True,True,False,NSW,10,10,35.0,1,7,53.0,Tier 2,F&B
2312701,L_611300645562,611301000000,Aussie Farmers Direct,NSW,granville,Unit 2/ 9 Ferndell Street Granville  NSW  2142,F&B,Others,Food,False,611300645562,shared_cost,0.2,157,Level 1,0,True,True,True,False,NSW,10,10,35.0,10,7,62.0,Tier 2,F&B
2312705,L_611300657467,611301000000,Rio'S,NSW,pyrmont,128 Pyrmont Bridge Road Camperdown  NSW  2050,F&B,Dine-in Restaurant,Restaurant,False,611300657467,shared_cost,0.2,157,Level 1,0,True,True,True,False,NSW,10,10,35.0,1,7,53.0,Tier 2,F&B
2312708,L_611300658002,611301000000,Coffee Care,NSW,sydney,Sydney NSW 2000,F&B,Cafe & Dessert,Coffee Machines,False,611300658002,shared_cost,0.2,157,Level 1,0,True,True,True,False,NSW,10,10,35.0,5,7,57.0,Tier 2,F&B
2273297,L_61243324334,+61 2 4332 4334,Sanctum,NSW,magenta,"2 Pebble Beach Ave, Magenta NSW 2261, Australia",Others,Others,Beach,False,61243324334,landline,1.0,1,Level 3,25,True,True,True,False,NSW,10,35,9.0,1,10,55.0,Tier 2,Others
2273304,L_61472594575,+61 472 594 575,Studio Blanco Events,NSW,bowral,"Oxley Dr, Bowral NSW 2576, Australia",Others,Others,Wedding planner,False,61472594575,mobile,1.0,1,Level 3,30,True,True,True,False,NSW,10,40,9.0,1,10,60.0,Tier 2,Others
2273308,L_61291285594,+61 2 9128 5594,Manly Wharf Events,NSW,manly,"E Esplanade, Manly NSW 2095, Australia",Others,Others,Event venue,False,61291285594,landline,1.0,1,Level 3,25,True,True,True,False,NSW,10,35,9.0,1,10,55.0,Tier 2,Others
2312717,L_611300674266,611301000000,Organo Gold Australia,NSW,sydney,Sydney NSW 2000,F&B,Cafe & Dessert,Coffee Wholesale,False,611300674266,shared_cost,0.2,157,Level 1,0,True,True,True,False,NSW,10,10,35.0,5,7,57.0,Tier 2,F&B
2312720,L_611300722555,611301000000,Relish Tasmania,NSW,newtown,229 Wilson Street Newtown  NSW  2042,F&B,Others,Food,False,611300722555,shared_cost,0.2,157,Level 1,0,True,True,True,False,NSW,10,10,35.0,1,7,53.0,Tier 2,F&B
2312737,L_611300789965,611301000000,Recharge Central,NSW,chatswood,815 Pacific Highway Chatswood  NSW  2067,F&B,Others,Food,False,611300789965,shared_cost,0.2,157,Level 1,0,True,True,True,False,NSW,10,10,35.0,15,7,67.0,Tier 2,F&B
2312738,L_611300795267,611301000000,&Juliet,NSW,pyrmont,"55 Pirrama Rd, Pyrmont, New South Wales, 2009, Australia",F&B,Others,Food & drink,False,611300795267,shared_cost,0.2,157,Level 1,0,True,True,True,False,NSW,10,10,35.0,1,7,53.0,Tier 2,F&B
2273329,L_61243515929,+61 2 4351 5929,Kartatak Raceway,NSW,tuggerah,"35 Ace Cres, Tuggerah NSW 2259, Australia",Others,Others,Go-karting venue,False,61243515929,landline,1.0,1,Level 3,25,True,True,True,False,NSW,10,35,9.0,1,10,55.0,Tier 2,Others
2312752,L_611300886278,611301000000,Toast Food,NSW,sydney,37 Bridge St Sydney NSW 2000,F&B,Others,Commercial and Industrial Catering,False,611300886278,shared_cost,0.2,157,Level 1,0,True,True,True,False,NSW,10,10,35.0,5,7,57.0,Tier 2,F&B
2273363,L_610295583355,(02) 9558 3355,Mason Rose Fine Foods,NSW,marrickville,"4/49 Carrington Rd, Marrickville NSW 2204",F&B,Others,Food service,False,610295583355,landline,0.2,1,Level 2,3,True,True,True,False,NSW,10,13,35.0,1,7,56.0,Tier 2,F&B
2312766,L_611300964821,611301000000,Veriu Broadway,NSW,ultimo,"35 Mountain Street, Ultimo, New South Wales, 2007, Australia",F&B,Others,Food & drink,False,611300964821,shared_cost,0.2,157,Level 1,0,True,True,True,False,NSW,10,10,35.0,1,7,53.0,Tier 2,F&B
2312768,L_61131766,131766,Agl Smarter Living,NSW,sydney,"Tenancy T0.8, Alexandria Homemaker Centre, Cnr O Alexandria, Sydney NSW 2015",Retail,Electronics & Appliances,Gas Equipment and Appliances,False,61131766,shared_cost,0.2,1,Level 2,3,True,True,True,False,NSW,10,13,26.0,5,7,51.0,Tier 2,Retail
2312771,L_61132784,132784,Spherion Education,NSW,sydney,"Level 1, 31 Market St Sydney NSW 2000",Retail,Electronics & Appliances,Computer Training,False,61132784,shared_cost,0.2,1,Level 2,3,True,True,True,False,NSW,10,13,26.0,5,7,51.0,Tier 2,Retail
2312772,L_61133622,133622,Apple Pty Ltd,NSW,sydney,"Level 13, 255 Pitt St Sydney NSW 2000",Retail,Electronics & Appliances,"Computer, PC Software",False,61133622,shared_cost,0.2,1,Level 2,3,True,True,True,False,NSW,10,13,26.0,5,7,51.0,Tier 2,Retail
2312775,L_611409542685,611410000000,Cafe Twenty3,NSW,liverpool,58 Macquarie Street 2170 Sydney - Liverpool,F&B,Bar / Pub / Nightlife,"Café, Bar & Club",False,611409542685,unknown,0.2,1,Level 2,3,True,True,True,False,NSW,10,13,35.0,1,7,56.0,Tier 2,F&B
2312776,L_611441681734,611442000000,Sea Breeze Beach Hotel,NSW,sydney,100 Cumberland Street 2000 Sydney,F&B,Bar / Pub / Nightlife,"Café, Bar & Club",False,611441681734,unknown,0.2,1,Level 2,3,True,True,True,False,NSW,10,13,35.0,5,7,60.0,Tier 2,F&B
2312779,L_611800010811,611800000000,Ben & Jerry’S,NSW,sydney,20 Cambridge Street 2121 Sydney,F&B,Cafe & Dessert,Ice Cream Shop,True,611800010811,toll_free,0.5,31,Level 1,0,True,True,True,False,NSW,10,10,35.0,5,8,58.0,Tier 2,F&B
2273391,L_61266857868,+61 2 6685 7868,Wake Up! Byron Bay,NSW,byron bay,"25 Childe St, Byron Bay NSW 2481, Australia",Others,Others,Hostel,False,61266857868,landline,1.0,1,Level 3,25,True,True,True,False,NSW,10,35,9.0,1,10,55.0,Tier 2,Others
2273402,L_61242613366,+61 2 4261 3366,Elsinor Motor Lodge,NSW,brownsville,"39 Prince Edward Dr, Brownsville NSW 2530, Australia",Others,Hotel / Motel / Accommodation,Motel,False,61242613366,landline,1.0,1,Level 3,25,True,True,True,False,NSW,10,35,9.0,1,10,55.0,Tier 2,Others
2273403,L_61434027548,+61 434 027 548,Grobler’S Services & Designs,NSW,buckaroo,"94 Mount Pleasant Ln, Buckaroo NSW 2850, Australia",Others,Others,Handyman/Handywoman/Handyperson,False,61434027548,mobile,1.0,1,Level 3,30,True,True,True,False,NSW,10,40,9.0,1,10,60.0,Tier 2,Others
2273408,L_61435917150,+61 435 917 150,Rhianna Smith Events,NSW,wollongong,"64B Evans St, Wollongong NSW 2500, Australia",Others,Others,Event planner,False,61435917150,mobile,1.0,1,Level 3,30,True,True,True,False,NSW,10,40,9.0,1,10,60.0,Tier 2,Others
2312789,L_611800239438,611800000000,Map Coffee,NSW,sydney,"4/ 23 Bowden St Alexandria, Sydney NSW 2015",F&B,Cafe & Dessert,Coffee Wholesale,True,611800239438,toll_free,0.5,31,Level 1,0,True,True,True,False,NSW,10,10,35.0,5,8,58.0,Tier 2,F&B
2312796,L_611800304567,611800000000,Benwarin Wines,NSW,surry hills,"PO Box 1014 Surry Hills, Sydney NSW 1014",F&B,Bar / Pub / Nightlife,Wineries and Vineyards,True,611800304567,toll_free,0.5,31,Level 1,0,True,True,True,False,NSW,10,10,35.0,1,8,54.0,Tier 2,F&B
2273421,L_61295153300,+61 2 9515 3300,Rpah Allergy Unit,NSW,camperdown,"9-11 Layton St, Camperdown NSW 2050, Australia",Professional Services,Medical & Dental,Physician referral service,False,61295153300,landline,1.0,1,Level 3,25,True,True,True,False,NSW,10,35,12.0,1,10,58.0,Tier 2,Professional Services
2273422,L_61286275690,+61 2 8627 5690,Insideout Institute,NSW,camperdown,"Johns Hopkins Dr, Camperdown NSW 2006, Australia",Others,Others,Research institute,False,61286275690,landline,1.0,1,Level 3,25,True,True,True,False,NSW,10,35,9.0,1,10,55.0,Tier 2,Others
2312803,L_611800620018,611801000000,"Replay Bankstown - Amusement, Karaoke, Lounge & Bar",NSW,bankstown,"level 1/462 Chapel Rd, Bankstown, New South Wales, 2200, Australia",F&B,Others,Food & drink,False,611800620018,toll_free,0.2,41,Level 1,0,True,True,True,False,NSW,10,10,35.0,10,7,62.0,Tier 2,F&B
2273427,L_61427822257,+61 427 822 257,Aged Care Insight,NSW,moama,"22 Beer Rd, Moama NSW 2731, Australia",Beauty & Wellness,Others,Senior Citizens Care Service,False,61427822257,mobile,1.0,1,Level 3,30,True,True,True,False,NSW,10,40,26.0,1,10,77.0,Tier 2,Beauty & Wellness
2273431,L_61264999900,+61 2 6499 9900,Tathra Beach House,NSW,tathra,"57 Andy Poole Dr, Tathra NSW 2550, Australia",Others,Hotel / Motel / Accommodation,Resort hotel,False,61264999900,landline,1.0,1,Level 3,25,True,True,True,False,NSW,10,35,9.0,1,10,55.0,Tier 2,Others
2273433,L_61244553222,+61 2 4455 3222,Motel Molly - Boutique Hotel Mollymook,NSW,mollymook,"2 Shepherd St, Mollymook NSW 2539, Australia",Others,Hotel / Motel / Accommodation,Hotel,False,61244553222,landline,1.0,1,Level 3,25,True,True,True,False,NSW,10,35,9.0,1,10,55.0,Tier 2,Others
2312808,L_611800731403,611801000000,Wordpress Developer,NSW,campsie,"Messiter Street, Campsie Sydney NSW 2000",Retail,Electronics & Appliances,"Computer, IT Technical Support",False,611800731403,toll_free,0.2,41,Level 1,0,True,True,True,False,NSW,10,10,26.0,15,7,58.0,Tier 2,Retail
2312809,L_611800754500,611801000000,Royal Caribbean Cruises | Sydney To Singapore,NSW,rozelle,"2041 James Craig Rd, Rozelle, New South Wales, 2039, Australia",F&B,Others,Food & drink,False,611800754500,toll_free,0.2,41,Level 1,0,True,True,True,False,NSW,10,10,35.0,1,7,53.0,Tier 2,F&B
2312810,L_611800770915,611801000000,Nexba Beverages,NSW,sydney,275 Alfred Street North North Sydney  NSW  2060,F&B,Others,Food,False,611800770915,toll_free,0.2,41,Level 1,0,True,True,True,False,NSW,10,10,35.0,5,7,57.0,Tier 2,F&B
2312811,L_611800788801,611801000000,Material Aid & Food Van,NSW,woolloomooloo,"Cnr Bourke & Cathedral Street, Woolloomooloo NSW 2011",F&B,Others,meals,False,611800788801,toll_free,0.2,41,Level 1,0,True,True,True,False,NSW,10,10,35.0,1,7,53.0,Tier 2,F&B
2312814,L_611800811309,611801000000,The Coffee Roaster Pty Ltd,NSW,sydney,"380 Botany Rd Alexandria, Sydney NSW 2015",F&B,Cafe & Dessert,Coffee Machines,False,611800811309,toll_free,0.2,41,Level 1,0,True,True,True,False,NSW,10,10,35.0,5,7,57.0,Tier 2,F&B
2312818,L_611800950653,611801000000,Local Bar,NSW,rozelle,"729 Darling St, Rozelle, New South Wales, 2039, Australia",F&B,Others,Food & drink,False,611800950653,toll_free,0.2,41,Level 1,0,True,True,True,False,NSW,10,10,35.0,1,7,53.0,Tier 2,F&B
2312823,L_61182661719,61182661719,Island Hopper Brewery,NSW,sydney,32 Cambridge Road 2064 Sydney - Artarmon,F&B,Bar / Pub / Nightlife,"Café, Bar & Club",False,61182661719,unknown,1.0,1,Level 1,0,True,True,True,False,NSW,10,10,35.0,5,10,60.0,Tier 2,F&B
2312825,L_61242840004,61242840004,Hawthornes Meats,NSW,banksia,16 Banksia Place 2570 Sydney,Retail,Grocery / Convenience Store,Butcher,False,61242840004,landline,1.0,1,Level 3,25,True,True,True,False,NSW,10,35,26.0,1,10,72.0,Tier 2,Retail
2312826,L_61243584553,61243584553,Atc Communications Quality,NSW,sydney,Sydney NSW 2000,Retail,Electronics & Appliances,"Computer, PC Installation and Networking",False,61243584553,landline,1.0,1,Level 3,25,True,True,True,False,NSW,10,35,26.0,5,10,76.0,Tier 2,Retail
2312827,L_61243683427,61243683427,Feather,NSW,sydney,"5,11-13 Cochrone Street Sydney NSW 2251",Retail,Specialty Retail,Crafts,False,61243683427,landline,1.0,1,Level 3,25,True,True,True,False,NSW,10,35,26.0,5,10,76.0,Tier 2,Retail
2312829,L_61245723725,61245723725,Martin T Sharp M T Sharp'S Quality Meats,NSW,sydney,71 Bathurst Street 2756 Sydney - Pitt Town,Retail,Grocery / Convenience Store,Butcher,False,61245723725,landline,1.0,1,Level 3,25,True,True,True,False,NSW,10,35,26.0,5,10,76.0,Tier 2,Retail
2312832,L_61245753080,61245753080,Beachwood Fields,NSW,sydney,539 Wilberforce Road 2756 Sydney,Retail,Grocery / Convenience Store,Groceries,False,61245753080,landline,1.0,1,Level 3,25,True,True,True,False,NSW,10,35,26.0,5,10,76.0,Tier 2,Retail
2312833,L_61245753981,61245753981,Langley Rw Wholesale Meats,NSW,sydney,62 King Road 2756 Sydney,Retail,Grocery / Convenience Store,Butcher,False,61245753981,landline,1.0,1,Level 3,25,True,True,True,False,NSW,10,35,26.0,5,10,76.0,Tier 2,Retail
2273435,L_61479097992,+61 479 097 992,Lacuna Weddings,NSW,newport,"10 Nooal St, Newport NSW 2106, Australia",Others,Others,Wedding planner,False,61479097992,mobile,1.0,1,Level 3,30,True,True,True,False,NSW,10,40,9.0,1,10,60.0,Tier 2,Others
2312836,L_61245899834,61245899834,The Royal Take Away,NSW,sydney,487 George Street 2756 Sydney - South Windsor,Retail,Grocery / Convenience Store,Groceries,False,61245899834,landline,1.0,1,Level 3,25,True,True,True,False,NSW,10,35,26.0,5,10,76.0,Tier 2,Retail
2312837,L_61246062685,61246062685,Bradbury & Macarthur Medical Centres,NSW,sydney,Centre Road 2020 Sydney - Bradbury,Retail,Grocery / Convenience Store,Groceries,False,61246062685,landline,1.0,1,Level 3,25,True,True,True,False,NSW,10,35,26.0,5,10,76.0,Tier 2,Retail
2312840,L_61246239049,61246239049,Mr D’S Traditional Meats,NSW,sydney,351 Oran Park Drive 2570 Sydney - Oran Park,Retail,Grocery / Convenience Store,Butcher,False,61246239049,landline,1.0,1,Level 3,25,True,True,True,False,NSW,10,35,26.0,5,10,76.0,Tier 2,Retail
2312842,L_61246255366,61246255366,Premium Packaging,NSW,sydney,146 Toongabbie Road 2145 Sydney,Retail,Grocery / Convenience Store,Groceries,False,61246255366,landline,1.0,1,Level 3,25,True,True,True,False,NSW,10,35,26.0,5,10,76.0,Tier 2,Retail
2312844,L_61246263104,61246263104,Reeves T & L,NSW,sydney,Junction Road 2560 Sydney - Ruse,Retail,Grocery / Convenience Store,Butcher,False,61246263104,landline,1.0,1,Level 3,25,True,True,True,False,NSW,10,35,26.0,5,10,76.0,Tier 2,Retail
2312845,L_61246377212,61246377212,Two Chicks,NSW,sydney,40 King Street 2557 Sydney,Retail,Grocery / Convenience Store,Butcher,False,61246377212,landline,1.0,1,Level 3,25,True,True,True,False,NSW,10,35,26.0,5,10,76.0,Tier 2,Retail
2312846,L_61246461001,61246461001,Mount Annan Quality Meats And Deli,NSW,sydney,1 Raintree Way 2567 Sydney,Retail,Grocery / Convenience Store,Butcher,False,61246461001,landline,1.0,1,Level 3,25,True,True,True,False,NSW,10,35,26.0,5,10,76.0,Tier 2,Retail
2312847,L_61246461639,61246461639,Hd Dollar,NSW,sydney,11 Main Street 2567 Sydney - Mount Annan,Retail,Grocery / Convenience Store,Groceries,False,61246461639,landline,1.0,1,Level 3,25,True,True,True,False,NSW,10,35,26.0,5,10,76.0,Tier 2,Retail
2312848,L_61246552062,61246552062,Macarthur Country Meats,NSW,sydney,5 Charters Avenue 2567 Sydney - Harrington Park,Retail,Grocery / Convenience Store,Butcher,False,61246552062,landline,1.0,1,Level 3,25,True,True,True,False,NSW,10,35,26.0,5,10,76.0,Tier 2,Retail
2312849,L_61246580778,61246580778,Let'S Meat Up,NSW,sydney,12 Peppin Place 2570 Sydney,Retail,Grocery / Convenience Store,Butcher,False,61246580778,landline,1.0,1,Level 3,25,True,True,True,False,NSW,10,35,26.0,5,10,76.0,Tier 2,Retail
2312850,L_61246818381,61246818381,Western Sydney Meat Worx,NSW,sydney,4 Columbia Court 2153 Sydney - Norwest,Retail,Grocery / Convenience Store,Butcher,False,61246818381,landline,1.0,1,Level 3,25,True,True,True,False,NSW,10,35,26.0,5,10,76.0,Tier 2,Retail
2312851,L_61247209800,61247209800,Crest Office Interiors - Fit Out & Renovation,NSW,sydney,"Level 21,, 60 Margaret St Sydney NSW 2000",Retail,Others,Office and Shop Fitting,False,61247209800,landline,1.0,1,Level 3,25,True,True,True,False,NSW,10,35,26.0,5,10,76.0,Tier 2,Retail
2312853,L_61247326895,61247326895,Kingswood Park Preschool,NSW,sydney,Caloola Avenue 2750 Sydney - Penrith,Retail,Grocery / Convenience Store,Groceries,False,61247326895,landline,1.0,1,Level 3,25,True,True,True,False,NSW,10,35,26.0,5,10,76.0,Tier 2,Retail
2312854,L_61247368282,61247368282,Kukku'S Indian Groceries,NSW,sydney,1 Bringelly Road 2747 Sydney,Retail,Grocery / Convenience Store,Groceries,False,61247368282,landline,1.0,1,Level 3,25,True,True,True,False,NSW,10,35,26.0,5,10,76.0,Tier 2,Retail
2312855,L_61247749079,61247749079,Bobby'S Butchers,NSW,sydney,7 The Northern Road 2556 Sydney - Bringelly,Retail,Grocery / Convenience Store,Butcher,False,61247749079,landline,1.0,1,Level 3,25,True,True,True,False,NSW,10,35,26.0,5,10,76.0,Tier 2,Retail
2312857,L_61251043355,61251043355,Herbalife Australasia,NSW,sydney,8 Parkview Drive 2127 Sydney - Sydney Olympic Park,Retail,Grocery / Convenience Store,Groceries,False,61251043355,landline,1.0,1,Level 3,25,True,True,True,False,NSW,10,35,26.0,5,10,76.0,Tier 2,Retail
2312859,L_61262807322,61262807322,Iken Commercial Interiors,NSW,sydney,"5 Hiles St Alexandria, Sydney NSW 2015",Retail,Home & Furniture,Office Furniture,False,61262807322,landline,1.0,1,Level 3,25,True,True,True,False,NSW,10,35,26.0,5,10,76.0,Tier 2,Retail
2312860,L_61265667400,61265667400,Pick Of The Crop,NSW,sydney,7 Richmond Road 2140 Sydney - Homebush West,Retail,Grocery / Convenience Store,Groceries,False,61265667400,landline,1.0,1,Level 3,25,True,True,True,False,NSW,10,35,26.0,5,10,76.0,Tier 2,Retail
2273466,L_61420975586,+61 420 975 586,I Heart Nutrition Mosman,NSW,mosman,"210 Spit Rd, Mosman NSW 2088, Australia",Others,Others,Nutritionist,False,61420975586,mobile,1.0,1,Level 3,30,True,True,True,False,NSW,10,40,9.0,1,10,60.0,Tier 2,Others
2273467,L_61447224473,+61 447 224 473,Highlands Equine Trail Adventures ( On Your Own Horse),NSW,moss vale,"7007 Illawarra Hwy, Moss Vale NSW 2577, Australia",Others,Others,Horse riding field,False,61447224473,mobile,1.0,1,Level 3,30,True,True,True,False,NSW,10,40,9.0,1,10,60.0,Tier 2,Others
2273469,L_61407805313,+61 407 805 313,Star Events Hire,NSW,berrima,"4 Fountain St, Berrima NSW 2577, Australia",Professional Services,IT / Design / Creative Agency,Entertainment agency,False,61407805313,mobile,1.0,1,Level 3,30,True,True,True,False,NSW,10,40,12.0,1,10,63.0,Tier 2,Professional Services
2273474,L_61246347905,+61 2 4634 7905,The Bird Hide,NSW,mount annan,"The Australian Botanic Garden, Narellan Rd, Mount Annan NSW 2567, Australia",Others,Others,Bird watching area,False,61246347905,landline,1.0,1,Level 3,25,True,True,True,False,NSW,10,35,26.0,1,10,72.0,Tier 2,Retail
2312864,L_61269423100,61269423100,Manildra Natural Meats,NSW,sydney,6 Frank Street 2111 Sydney - Gladesville,Retail,Grocery / Convenience Store,Butcher,False,61269423100,landline,1.0,1,Level 3,25,True,True,True,False,NSW,10,35,26.0,5,10,76.0,Tier 2,Retail
2312867,L_61272019808,61272019808,Info-Tech Systems Integrators Pty Ltd,NSW,sydney,"Suite 65, Level 4, 330 Wattle St. Ultimo, Sydney NSW 2007",Retail,Electronics & Appliances,"Computer, PC Software",False,61272019808,landline,1.0,1,Level 3,25,True,True,True,False,NSW,10,35,26.0,5,10,76.0,Tier 2,Retail
2312869,L_61272297247,61272297247,Vivin Imports,NSW,sydney,"6 Burilda Cl, Wetherill Park Sydney NSW 2164",Retail,Home & Furniture,"Wholesale Furniture, Manufacturers",False,61272297247,landline,1.0,1,Level 3,25,True,True,True,False,NSW,10,35,26.0,5,10,76.0,Tier 2,Retail
